Provider Number,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
190257,Ruston,LA,71270,LINCOLN,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,7 out of 10,6 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,77,20
190259,Lafayette,LA,70508,LAFAYETTE,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,80,20
190261,West Monroe,LA,71291,OUACHITA,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,80,20
190263,Lafayette,LA,70508,LAFAYETTE,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,80,20
190266,Baton Rouge,LA,70810,EAST BATON ROUGE,10 out of 10,9 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,8 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,76,20
190267,Covington,LA,70433,ST. TAMMANY,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,80,20
190270,Slidell,LA,70458,ST. TAMMANY,10 out of 10,9 out of 9,10 out of 10,8 out of 10,0 out of 9,8 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,0 out of 9,6 out of 10,10 out of 10,0 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,10 out of 10,0 out of 9,10 out of 10,71,20
190274,Kenner,LA,70065,JEFFERSON,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,8,15
190278,Shreveport,LA,71101,CADDO,10 out of 10,0 out of 9,10 out of 10,8 out of 10,0 out of 9,8 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,78,20
190298,Alexandria,LA,71301,RAPIDES,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,7 out of 10,6 out of 9,7 out of 10,10 out of 10,0 out of 9,10 out of 10,77,20
190303,Hammond,LA,70403,TANGIPAHOA,10 out of 10,0 out of 9,10 out of 10,8 out of 10,0 out of 9,8 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,78,20
190308,Chalmette,LA,70043,ST. BERNARD,3 out of 10,Not Available,3 out of 10,10 out of 10,Not Available,10 out of 10,2 out of 10,Not Available,2 out of 10,0 out of 10,Not Available,0 out of 10,2 out of 10,Not Available,2 out of 10,5 out of 10,Not Available,5 out of 10,7 out of 10,Not Available,7 out of 10,0 out of 10,Not Available,0 out of 10,29,19
200001,Bangor,ME,4401,PENOBSCOT,4 out of 10,1 out of 9,4 out of 10,4 out of 10,4 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,6 out of 10,7 out of 9,7 out of 10,7 out of 10,5 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,46,20
200008,Portland,ME,4101,CUMBERLAND,5 out of 10,3 out of 9,5 out of 10,4 out of 10,4 out of 9,4 out of 10,5 out of 10,4 out of 9,5 out of 10,3 out of 10,3 out of 9,3 out of 10,7 out of 10,6 out of 9,7 out of 10,5 out of 10,2 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,46,20
200009,Portland,ME,4102,CUMBERLAND,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,3 out of 9,3 out of 10,4 out of 10,4 out of 9,4 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,6 out of 10,4 out of 9,6 out of 10,4 out of 10,2 out of 9,4 out of 10,22,18
200018,Presque Isle,ME,4769,AROOSTOOK,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,5 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,12,16
200019,Biddeford,ME,4005,YORK,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,9,12
200020,York,ME,3909,YORK,10 out of 10,9 out of 9,10 out of 10,9 out of 10,2 out of 9,9 out of 10,6 out of 10,0 out of 9,6 out of 10,8 out of 10,0 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,5 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,70,20
200021,Brunswick,ME,4011,CUMBERLAND,3 out of 10,0 out of 9,3 out of 10,5 out of 10,3 out of 9,5 out of 10,5 out of 10,3 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,9 out of 10,8 out of 9,9 out of 10,6 out of 10,2 out of 9,6 out of 10,34,19
200024,Lewiston,ME,4240,ANDROSCOGGIN,5 out of 10,4 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,5 out of 10,3 out of 9,5 out of 10,5 out of 10,4 out of 9,5 out of 10,7 out of 10,7 out of 9,7 out of 10,2 out of 10,1 out of 9,2 out of 10,9 out of 10,9 out of 9,9 out of 10,4 out of 10,2 out of 9,4 out of 10,38,19
200025,Brunswick,ME,4011,CUMBERLAND,8 out of 10,2 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,2 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,60,20
200031,Caribou,ME,4736,AROOSTOOK,10 out of 10,9 out of 9,10 out of 10,7 out of 10,4 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,7 out of 9,9 out of 10,2 out of 10,0 out of 9,2 out of 10,6 out of 10,0 out of 9,6 out of 10,6 out of 10,0 out of 9,6 out of 10,60,20
200033,Bangor,ME,4401,PENOBSCOT,4 out of 10,3 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,1 out of 9,1 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,8 out of 10,7 out of 9,8 out of 10,2 out of 10,1 out of 9,2 out of 10,21,16
200034,Lewiston,ME,4240,ANDROSCOGGIN,5 out of 10,6 out of 9,6 out of 10,3 out of 10,4 out of 9,4 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,7 out of 10,7 out of 9,7 out of 10,4 out of 10,4 out of 9,4 out of 10,6 out of 10,4 out of 9,6 out of 10,4 out of 10,3 out of 9,4 out of 10,36,18
200037,Farmington,ME,4938,FRANKLIN,4 out of 10,1 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,2 out of 9,4 out of 10,5 out of 10,2 out of 9,5 out of 10,9 out of 10,8 out of 9,9 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,3 out of 9,7 out of 10,1 out of 10,0 out of 9,1 out of 10,32,19
200039,Augusta,ME,4330,KENNEBEC,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,3 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,7 out of 10,0 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,19,18
200041,Waterville,ME,4901,KENNEBEC,8 out of 10,7 out of 9,8 out of 10,4 out of 10,0 out of 9,4 out of 10,8 out of 10,0 out of 9,8 out of 10,3 out of 10,0 out of 9,3 out of 10,8 out of 10,0 out of 9,8 out of 10,8 out of 10,0 out of 9,8 out of 10,8 out of 10,5 out of 9,8 out of 10,7 out of 10,0 out of 9,7 out of 10,54,20
200050,Ellsworth,ME,4605,HANCOCK,7 out of 10,0 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,8 out of 10,0 out of 9,8 out of 10,8 out of 10,0 out of 9,8 out of 10,4 out of 10,1 out of 9,4 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,0 out of 9,5 out of 10,52,20
200052,Fort Kent,ME,4743,AROOSTOOK,9 out of 10,0 out of 9,9 out of 10,5 out of 10,0 out of 9,5 out of 10,8 out of 10,0 out of 9,8 out of 10,1 out of 10,0 out of 9,1 out of 10,8 out of 10,8 out of 9,8 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,4 out of 9,4 out of 10,1 out of 10,1 out of 9,1 out of 10,39,19
200063,Rockport,ME,4856,KNOX,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,5 out of 10,4 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,12,18
220001,Leominster,MA,1453,WORCESTER,4 out of 10,2 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,5 out of 10,1 out of 9,5 out of 10,1 out of 10,3 out of 9,3 out of 10,19,19
220002,Cambridge,MA,2138,MIDDLESEX,6 out of 10,5 out of 9,6 out of 10,5 out of 10,5 out of 9,5 out of 10,7 out of 10,5 out of 9,7 out of 10,6 out of 10,5 out of 9,6 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,4 out of 9,5 out of 10,5 out of 10,2 out of 9,5 out of 10,7 out of 10,4 out of 9,7 out of 10,44,20
220008,Attleboro,MA,2703,BRISTOL,5 out of 10,3 out of 9,5 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,3 out of 9,6 out of 10,5 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,3 out of 9,8 out of 10,3 out of 10,1 out of 9,3 out of 10,29,18
220010,Lawrence,MA,1842,ESSEX,4 out of 10,2 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,3 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,3 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,15,17
220011,Cambridge,MA,2139,MIDDLESEX,1 out of 10,3 out of 9,3 out of 10,1 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,5 out of 9,6 out of 10,0 out of 10,1 out of 9,1 out of 10,17,18
220012,Hyannis,MA,2601,BARNSTABLE,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,1 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,19,20
220015,Northampton,MA,1061,HAMPSHIRE,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,3 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,7 out of 10,7 out of 9,7 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,20,18
220016,Greenfield,MA,1301,FRANKLIN,4 out of 10,4 out of 9,4 out of 10,2 out of 10,5 out of 9,5 out of 10,4 out of 10,4 out of 9,4 out of 10,1 out of 10,3 out of 9,3 out of 10,5 out of 10,6 out of 9,6 out of 10,1 out of 10,3 out of 9,3 out of 10,7 out of 10,0 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,32,19
220017,Boston,MA,2124,SUFFOLK,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3,11
220019,Southbridge,MA,1550,WORCESTER,7 out of 10,6 out of 9,7 out of 10,2 out of 10,1 out of 9,2 out of 10,6 out of 10,1 out of 9,6 out of 10,9 out of 10,8 out of 9,9 out of 10,5 out of 10,5 out of 9,5 out of 10,3 out of 10,1 out of 9,3 out of 10,5 out of 10,4 out of 9,5 out of 10,4 out of 10,3 out of 9,4 out of 10,41,20
220020,Fall River,MA,2721,BRISTOL,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,1 out of 9,1 out of 10,19,18
220024,Holyoke,MA,1040,HAMPDEN,6 out of 10,6 out of 9,6 out of 10,3 out of 10,5 out of 9,5 out of 10,4 out of 10,5 out of 9,5 out of 10,2 out of 10,4 out of 9,4 out of 10,7 out of 10,6 out of 9,7 out of 10,1 out of 10,0 out of 9,1 out of 10,8 out of 10,4 out of 9,8 out of 10,2 out of 10,3 out of 9,3 out of 10,39,20
220029,Newburyport,MA,01950-3867,ESSEX,7 out of 10,2 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,2 out of 9,5 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,6 out of 10,0 out of 9,6 out of 10,2 out of 10,1 out of 9,2 out of 10,27,18
220030,Palmer,MA,1069,HAMPDEN,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,7 out of 9,7 out of 10,4 out of 10,1 out of 9,4 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,2 out of 9,4 out of 10,28,18
220031,Boston,MA,2118,SUFFOLK,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,2 out of 9,2 out of 10,11,13
220033,Beverly,MA,01915-1790,ESSEX,6 out of 10,4 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,3 out of 9,4 out of 10,2 out of 10,1 out of 9,2 out of 10,20,15
220035,Salem,MA,1970,ESSEX,2 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,4 out of 10,4 out of 9,4 out of 10,2 out of 10,3 out of 9,3 out of 10,16,18
220036,Brighton,MA,2135,SUFFOLK,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,6,13
220046,Pittsfield,MA,1201,BERKSHIRE,5 out of 10,3 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,0 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,19,16
220049,Marlborough,MA,1752,MIDDLESEX,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3,12
220050,Ware,MA,1082,HAMPSHIRE,8 out of 10,5 out of 9,8 out of 10,5 out of 10,4 out of 9,5 out of 10,6 out of 10,3 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,4 out of 9,7 out of 10,10 out of 10,0 out of 9,10 out of 10,5 out of 10,2 out of 9,5 out of 10,56,20
220052,Brockton,MA,2302,PLYMOUTH,4 out of 10,2 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,4 out of 9,4 out of 10,2 out of 10,1 out of 9,2 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,6 out of 10,2 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,22,13
220058,Clinton,MA,1510,WORCESTER,10 out of 10,9 out of 9,10 out of 10,5 out of 10,3 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,2 out of 10,0 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,0 out of 9,6 out of 10,8 out of 10,0 out of 9,8 out of 10,6 out of 10,0 out of 9,6 out of 10,57,20
220060,Plymouth,MA,2360,PLYMOUTH,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,3 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,6,12
220063,Lowell,MA,1854,MIDDLESEX,4 out of 10,4 out of 9,4 out of 10,1 out of 10,3 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,3 out of 10,4 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,2 out of 9,2 out of 10,5 out of 10,3 out of 9,5 out of 10,2 out of 10,3 out of 9,3 out of 10,25,20
220065,Westfield,MA,1086,HAMPDEN,5 out of 10,0 out of 9,5 out of 10,2 out of 10,2 out of 9,2 out of 10,7 out of 10,3 out of 9,7 out of 10,4 out of 10,2 out of 9,4 out of 10,7 out of 10,5 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,1 out of 10,0 out of 9,1 out of 10,36,19
220066,Springfield,MA,1104,HAMPDEN,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,6,12
220070,Melrose,MA,02176-3225,MIDDLESEX,5 out of 10,2 out of 9,5 out of 10,3 out of 10,2 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,6 out of 10,5 out of 9,6 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,1 out of 10,2 out of 9,2 out of 10,35,18
220071,Boston,MA,2114,SUFFOLK,6 out of 10,4 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,1 out of 9,3 out of 10,5 out of 10,3 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,5 out of 9,9 out of 10,39,19
220073,Taunton,MA,2780,BRISTOL,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2,9
220074,Fall River,MA,02720-3703,BRISTOL,4 out of 10,3 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,7 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,19,16
220075,Boston,MA,2114,SUFFOLK,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,3,8
220077,Springfield,MA,1199,HAMPDEN,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,7 out of 10,0 out of 9,7 out of 10,1 out of 10,0 out of 9,1 out of 10,12,14
220080,Methuen,MA,1844,ESSEX,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,3 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,6,13
220083,Needham,MA,2494,NORFOLK,3 out of 10,2 out of 9,3 out of 10,5 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,7 out of 9,7 out of 10,2 out of 10,0 out of 9,2 out of 10,20,16
220084,Concord,MA,1742,MIDDLESEX,6 out of 10,4 out of 9,6 out of 10,2 out of 10,2 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,6 out of 10,0 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,27,19
220086,Boston,MA,2215,SUFFOLK,3 out of 10,0 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,1 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,0 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,20,15
220088,Boston,MA,2120,SUFFOLK,10 out of 10,9 out of 9,10 out of 10,6 out of 10,3 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,6 out of 10,0 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,53,20
220090,Milford,MA,1757,WORCESTER,6 out of 10,0 out of 9,6 out of 10,4 out of 10,3 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,5 out of 10,3 out of 9,5 out of 10,8 out of 10,6 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,3 out of 9,5 out of 10,42,18
